round,mapas,fixdps,adaclip1,nbafl
49,0.079775245,0.4615667,0.253042334,0.064904397
99,0.079775245,0.538909641,0.521277862,0.064904397
149,0.079775245,0.614013122,0.372764292,0.087165238
199,0.079775245,0.593249304,0.515935038,0.079434234
249,0.107491361,0.66781701,0.536455904,0.081382635
299,0.134229627,0.715339182,0.651269107,0.123462118
349,0.101411444,0.703938112,0.674210499,0.169107164
399,0.110915505,0.734996199,0.688758248,0.174287753
449,0.176279927,0.737712257,0.699305366,0.22749449
499,0.269874225,0.73394681,0.70547583,0.335388448
549,0.437839496,0.773976902,0.739313202,0.358807899
599,0.597587997,0.779713418,0.721165124,0.343747388
649,0.640632295,0.787091963,0.720913992,0.393456845
699,0.668500943,0.774385546,0.735507043,0.397538043
749,0.702567259,0.757427642,0.729236638,0.457259281
799,0.727891609,0.755254716,0.742478663,0.3205637
849,0.718520622,0.794102436,0.7611026,0.357277114
899,0.723272944,0.715518314,0.787627925,0.483925174
949,0.73987126,0.797534654,0.785203338,0.439134231
999,0.737377323,0.785152258,0.778563116,0.545994964
1049,0.751295462,0.79486655,0.786765343,0.557134371
1099,0.733051271,0.798939572,0.798815509,0.578782607
1149,0.745370754,0.805609746,0.797416773,0.550444792
1199,0.747614691,0.782521902,0.78905676,0.504557117
1249,0.751755773,0.77844338,0.799643954,0.552015741
1299,0.744869937,0.794160815,0.803668087,0.545901381
1349,0.749518114,0.79032785,0.792865207,0.610966467
1399,0.746385589,0.752256565,0.810983724,0.635691384
1449,0.748385288,0.796830922,0.803511897,0.535036439
1499,0.753222276,0.790238712,0.798430557,0.588631488
1549,0.754291721,0.812265595,0.798431101,0.600216664
1599,0.745712229,0.753045511,0.810379468,0.573780687
1649,0.757912292,0.786387509,0.773236785,0.617966139
1699,0.749847033,0.768137677,0.800368989,0.633672153
1749,0.758985176,0.762418416,0.821374116,0.622087054
1799,0.7505701,0.792107194,0.794161124,0.606909718
1849,0.758240422,0.806699056,0.803940571,0.586612638
1899,0.755728597,0.813345197,0.811127847,0.6110692
1949,0.758875527,0.784187002,0.823155033,0.629541386
1999,0.74849865,0.78927914,0.809646544,0.615507131
2049,0.76034503,0.794969547,0.813090343,0.66124982
2099,0.761989638,0.811725415,0.816853253,0.65674005
2149,0.760917304,0.800505611,0.825333473,0.656020551
2199,0.76522242,0.792669825,0.81743219,0.655501967
2249,0.768676807,0.800939969,0.831199796,0.659603995
2299,0.768725243,0.791200064,0.807414551,0.643115982
2349,0.772346613,0.820471502,0.824877781,0.639405037
2399,0.764445019,0.808962329,0.806626051,0.636837798
2449,0.774001669,0.799121245,0.807074132,0.64537107
2499,0.765744651,0.791008515,0.805962638,0.646054314
2549,0.771524846,0.797079939,0.816585908,0.575330709
2599,0.776122799,0.809892702,0.807655439,0.651728206
2649,0.770370195,0.811512585,0.806494157,0.666553165
2699,0.765380945,0.790764705,0.793457855,0.673085199
2749,0.773996466,0.804164981,0.785763742,0.6202405
2799,0.78628411,0.811941411,0.81074763,0.665960611
2849,0.786039872,0.745748807,0.806204698,0.656784278
2899,0.776967528,0.811187402,0.810205136,0.668394238
2949,0.78121531,0.804683781,0.831100581,0.656973323
,,,,0.672735287
,,,,0.659632775
,,,,0.655427022
,,,,0.674421561
,,,,0.614091553
,,,,0.677875207
,,,,0.636072496
,,,,0.637554291
,,,,0.67231045
,,,,0.672554387
,,,,0.626839901
,,,,0.649478397
,,,,0.662901614
,,,,0.665097563
,,,,0.661231785
,,,,0.672214875
,,,,0.646394718
,,,,0.664457097
,,,,0.671508267
,,,,0.647226409
,,,,0.624851432
,,,,0.662854505
,,,,0.659985816
,,,,0.679089465
,,,,0.669447546
,,,,0.668198221
,,,,0.674575103
,,,,0.679824253
,,,,0.653894901
,,,,0.670233385
,,,,0.64717579
,,,,0.623876914
,,,,0.684614849
,,,,0.676870683
,,,,0.56069008
,,,,0.673415478
,,,,0.647477447
,,,,0.631044469
,,,,0.675576804
,,,,0.65474178
,,,,0.679998072
,,,,0.601295492
,,,,0.614432068
,,,,0.680661188
,,,,0.65552757
,,,,0.670444417
,,,,0.671289221
,,,,0.686913348
,,,,0.646655322
,,,,0.65966094
,,,,0.642894514
,,,,0.567615986
,,,,0.67891653
,,,,0.674391992
,,,,0.677620243
,,,,0.669492534
,,,,0.675604816
,,,,0.673304789
,,,,0.634549768
,,,,0.672981499
,,,,0.653689513
,,,,0.652465144
,,,,0.627508341
,,,,0.675046465
,,,,0.667930819
,,,,0.662964049
,,,,0.688712057
,,,,0.676389979
,,,,0.687458488
,,,,0.683167552
,,,,0.646492498
,,,,0.647725411
,,,,0.654385343
,,,,0.613997694
,,,,0.640616535
,,,,0.646924385
,,,,0.683756131
,,,,0.65080478
,,,,0.595444595
,,,,0.659418566
,,,,0.677605805
,,,,0.6778471
,,,,0.670181335
,,,,0.633666191
,,,,0.683332681
,,,,0.604489257
,,,,0.677505109
,,,,0.656043002
,,,,0.657192115
,,,,0.646994943
,,,,0.665825276
,,,,0.675820803
,,,,0.645275352
,,,,0.674617888
,,,,0.68467814
,,,,0.677574345
,,,,0.671438073
,,,,0.678554162
,,,,0.670871567
,,,,0.66613733
,,,,0.669958025
,,,,0.66039194
,,,,0.689367971
,,,,0.680249089
,,,,0.686395976
,,,,0.677391759
,,,,0.678319203
,,,,0.649534908
,,,,0.652633496
,,,,0.679797704
,,,,0.663777709
,,,,0.67270913
,,,,0.622425523
,,,,0.670587177
,,,,0.67970694
,,,,0.650936128
,,,,0.665755527
,,,,0.66233123
,,,,0.66893795
,,,,0.675975632
,,,,0.670022051
,,,,0.692308841
,,,,0.6810508
,,,,0.679943706
,,,,0.678931126
,,,,0.636079867
,,,,0.683858161
,,,,0.672820708
,,,,0.68928034
,,,,0.648881199
,,,,0.625156716
,,,,0.682932506
,,,,0.680132894
,,,,0.643791004
,,,,0.585095829
,,,,0.677893181
,,,,0.647542095
,,,,0.657164446
,,,,0.648983944
,,,,0.65464869
,,,,0.645925606
,,,,0.6662306
,,,,0.672367653
,,,,0.687344854
,,,,0.685996781
,,,,0.685973227
,,,,0.686008768
,,,,0.691360826
,,,,0.655870047
,,,,0.671553404
,,,,0.596203308
,,,,0.652210127
,,,,0.678304162
,,,,0.694644246
,,,,0.595329985
,,,,0.684770098
,,,,0.688550087
,,,,0.643641284
,,,,0.671999046
,,,,0.658994579
,,,,0.676031483
,,,,0.543616876
,,,,0.658606688
,,,,0.595840573
,,,,0.632639248
,,,,0.683731225
,,,,0.65873996
,,,,0.645107688
,,,,0.674299295
,,,,0.647118314
,,,,0.606333622
,,,,0.622020637
,,,,0.660815638
,,,,0.68471632
,,,,0.676567756
,,,,0.666513257
,,,,0.683867931
,,,,0.656464317
,,,,0.675951962
,,,,0.656253429
,,,,0.684392077
,,,,0.656369131
,,,,0.684779083
,,,,0.651157609
,,,,0.674856087
,,,,0.691075367
,,,,0.651261298
,,,,0.67862548
,,,,0.617978894
,,,,0.645783246
,,,,0.687229908
,,,,0.63630164
,,,,0.663944031
,,,,0.671021249
,,,,0.679178861
,,,,0.697030951
,,,,0.684241899
,,,,0.688548707
,,,,0.681811525
,,,,0.683122867
,,,,0.667730571
,,,,0.526965956
,,,,0.690727002
,,,,0.538886722
,,,,0.666240093
,,,,0.671324965
,,,,0.668756432
,,,,0.656138165
,,,,0.678276665
,,,,0.681289327
,,,,0.638029919
,,,,0.679178029
,,,,0.676382069
,,,,0.673013298
,,,,0.646702621
,,,,0.664593308
,,,,0.679922186
,,,,0.680171156
,,,,0.677478216
,,,,0.648869531
,,,,0.662631844
,,,,0.688716883
,,,,0.643956329
,,,,0.689278716
,,,,0.619776462
,,,,0.655065729
,,,,0.641268429
,,,,0.643847473
,,,,0.660835284
,,,,0.67337364
,,,,0.649894294
,,,,0.672306613
,,,,0.658519805
,,,,0.684808024
,,,,0.663034236
,,,,0.686428244
,,,,0.681207896
,,,,0.636418987
,,,,0.654201753
,,,,0.656419288
