round,nbafl,adaclip1,fixdps,mapas,
1,0.068441706,0.115827183,0.173798695,0.075749484,0.068441706
50,0.185738661,0.191653211,0.261863813,0.078178026,0.185738661
100,0.160063384,0.290280453,0.545826002,0.140686569,0.160063384
150,0.161606685,0.333912471,0.604296461,0.223631253,0.161606685
200,0.214924289,0.31718448,0.652078586,0.191083378,0.214924289
250,0.324740645,0.502451266,0.41444891,0.220042072,0.324740645
300,0.42858644,0.642818816,0.626491917,0.191537772,0.42858644
350,0.346443493,0.64382502,0.655771501,0.238305421,0.346443493
400,0.452026566,0.637296382,0.695133826,0.402753697,0.452026566
450,0.35884522,0.595012391,0.666709166,0.322233698,0.35884522
500,0.34710383,0.673156534,0.684682912,0.300485931,0.34710383
550,0.338108148,0.714731683,0.702212825,0.346118496,0.338108148
600,0.632891537,0.729679248,0.702899253,0.468511663,0.632891537
650,0.649399447,0.763297239,0.638381826,0.07029942,0.649399447
700,0.586178302,0.702856501,0.718863151,0.316980894,0.586178302
750,0.62605543,0.738200035,0.721706778,0.520610453,0.62605543
800,0.686382057,0.766577316,0.689681398,0.663310977,0.686382057
850,0.503838487,0.759841109,0.724497747,0.699001906,0.503838487
900,0.420066509,0.765550259,0.70102248,0.551505891,0.420066509
950,0.692136842,0.760269461,0.760607906,0.722362071,0.692136842
1000,0.67835585,0.763742476,0.753573651,0.616799768,0.67835585
1050,0.595297843,0.749464217,0.771249694,0.693325912,0.595297843
1100,0.685678185,0.803397457,0.753173333,0.802192869,0.685678185
1150,0.654784341,0.782010986,0.766517573,0.530445391,0.654784341
1200,0.675617961,0.745602666,0.761200672,0.76975712,0.675617961
1250,0.383116291,0.775939682,0.773684436,0.722029558,0.383116291
1300,0.250393396,0.798418975,0.769560063,0.722974966,0.250393396
1350,0.703371669,0.798755506,0.762482648,0.746209715,0.703371669
1400,0.656566051,0.796790085,0.759196089,0.730529509,0.656566051
1450,0.705221369,0.795897672,0.75827078,0.752561174,0.705221369
1500,0.693919926,0.792059101,0.754311619,0.789840384,0.693919926
1550,0.665677018,0.80213373,0.781921541,0.790532804,0.665677018
1600,0.693935045,0.725253421,0.753029011,0.78233749,0.693935045
1650,0.699039557,0.794343683,0.773576712,0.792053867,0.699039557
1700,0.679183788,0.800950785,0.787913916,0.805725297,0.679183788
1750,0.631296883,0.793470661,0.760797335,0.800756125,0.631296883
1800,0.618756527,0.778461268,0.791422507,0.775693805,0.618756527
1850,0.586922143,0.799696873,0.801035719,0.791974401,0.586922143
1900,0.723116444,0.798218224,0.721967579,0.789229703,0.723116444
1950,0.678463756,0.778080774,0.735429559,0.794058164,0.678463756
2000,0.699728049,0.801044109,0.788725534,0.776724936,0.699728049
2050,0.685705146,0.79678539,0.777851404,0.802418108,0.685705146
2100,0.582876796,0.805904163,0.756511181,0.765523371,0.582876796
2150,0.60067296,0.80597177,0.776579937,0.800404225,0.60067296
2200,0.576064156,0.794651505,0.778957689,0.787558872,0.576064156
2250,0.707867288,0.810714675,0.78338815,0.785589124,0.707867288
2300,0.637584931,0.803601146,0.748113039,0.792547646,0.637584931
2350,0.644912833,0.808200252,0.777286402,0.772721956,0.644912833
2400,0.507280624,0.811374777,0.798160605,0.805694913,0.507280624
2450,0.669309245,0.818010513,0.766067391,0.78710037,0.669309245
2500,0.724090561,0.821739261,0.78368608,0.786211108,0.724090561
2550,0.739529816,0.819157418,0.782375613,0.794799429,0.739529816
2600,0.628607421,0.780639037,0.800355671,0.800900957,0.628607421
2650,0.423182872,0.787013265,0.784802212,0.817357326,0.423182872
2700,0.6365397,0.814106152,0.786714149,0.799928639,0.6365397
2750,0.69899086,0.816381729,0.800854801,0.804132573,0.69899086
2800,0.742614783,0.784707107,0.747377386,0.816219988,0.742614783
2850,0.161473246,0.805903434,0.794444703,0.800404351,0.161473246
2900,0.740012075,0.81426856,0.778695368,0.817381429,0.740012075
