round,C10,C20,C30,C40
49,0.075749484,0.075749484,0.058825736,0.058825736
99,0.167281752,0.072893666,0.152658019,0.142954524
149,0.075066706,0.072893666,0.076736803,0.22255002
199,0.122926105,0.072893666,0.076736803,0.206701984
249,0.256736126,0.072893666,0.077847914,0.267136231
299,0.150065635,0.076876572,0.143223857,0.271697242
349,0.142234194,0.167918044,0.139977592,0.306485789
399,0.167416083,0.082357718,0.236876543,0.290249013
449,0.286856599,0.277929108,0.460933369,0.306701522
499,0.546257137,0.160756583,0.491281234,0.518716857
549,0.313685288,0.214538462,0.424613297,0.305205736
599,0.332758109,0.348145229,0.317305994,0.370098111
649,0.19175617,0.294308947,0.422211402,0.425771926
699,0.283597939,0.380875769,0.288706166,0.5214031
749,0.515722484,0.435773637,0.476310854,0.683630332
799,0.296758092,0.207323461,0.463025148,0.465802542
849,0.496715115,0.349172557,0.405080932,0.534287996
899,0.476964771,0.677457233,0.703918834,0.705302454
949,0.514927516,0.556337571,0.522613007,0.608544241
999,0.418609316,0.658445898,0.654032522,0.664852985
1049,0.737851596,0.702735374,0.650017764,0.733432608
1099,0.719767039,0.733948498,0.730715347,0.729348672
1149,0.716933706,0.681334205,0.689964516,0.729337664
1199,0.72013544,0.680813098,0.696920455,0.710396259
1249,0.770120622,0.686912636,0.73911359,0.770384313
1299,0.711799785,0.702641414,0.767043415,0.761017555
1349,0.7172605,0.781743036,0.775746152,0.775283605
1399,0.75421496,0.710749515,0.757401943,0.756221526
1449,0.740791185,0.769378178,0.788057916,0.766734873
1499,0.746650252,0.789827553,0.760314101,0.76977905
1549,0.732340844,0.727684583,0.776536277,0.785128118
1599,0.716076052,0.786116806,0.776281971,0.74297829
1649,0.763690316,0.80158793,0.807619664,0.808668769
1699,0.765616594,0.782760474,0.785969747,0.777392414
1749,0.77853203,0.80839768,0.796516514,0.794604683
1799,0.73240395,0.77639119,0.801031323,0.782943547
1849,0.767144146,0.811892434,0.79256474,0.792414003
1899,0.783451304,0.784259594,0.786247468,0.77528587
1949,0.781225538,0.786482303,0.800684679,0.779689534
1999,0.777649535,0.795857624,0.795779672,0.778503525
2049,0.747286951,0.795151338,0.752421944,0.793425851
2099,0.757177941,0.807109161,0.776895969,0.798491267
2149,0.761858179,0.821273907,0.796380787,0.801750191
2199,0.784678084,0.798614186,0.797441969,0.799937908
2249,0.780715321,0.789322649,0.789214722,0.792791328
2299,0.795599807,0.759790276,0.790846731,0.773391735
2349,0.798594148,0.798590814,0.776479944,0.758149495
2399,0.772419791,0.798260557,0.805819764,0.784225278
2449,0.809066993,0.808290372,0.813722155,0.793901338
2499,0.796595316,0.791487185,0.798240608,0.774163255
2549,0.80284518,0.813316582,0.798842984,0.787911363
2599,0.790240826,0.799445198,0.793094426,0.785454641
2649,0.788946692,0.818712629,0.788613415,0.806527836
2699,0.803265253,0.802294183,0.815789082,0.800753393
2749,0.790636509,0.806625624,0.795844618,0.779789512
2799,0.789954918,0.814281925,0.794880357,0.798285451
2849,0.812518386,0.812718007,0.801333745,0.766524555
2899,0.80500845,0.788840345,0.806423738,0.797204439
2949,0.803696146,0.822062646,0.803067184,0.803559702
