round,k8,k16,k32,k24
49,0.075749484,0.055100236,0.093732457,0.122588342
99,0.078178026,0.235501281,0.199242566,0.206917555
149,0.136105234,0.106518147,0.41545182,0.290899876
199,0.11898342,0.144773122,0.554162678,0.448347063
249,0.155937708,0.078759613,0.506647588,0.40487057
299,0.13724761,0.261348048,0.675149223,0.533676249
349,0.105780405,0.412550134,0.555104685,0.464284625
399,0.206330467,0.509970383,0.574859739,0.665510334
449,0.139640455,0.2206171,0.729725865,0.622463643
499,0.349891379,0.324329538,0.665826597,0.68981284
549,0.301996741,0.495813252,0.741374718,0.685253328
599,0.23039789,0.544455436,0.727991377,0.695316796
649,0.291784322,0.530895964,0.794537842,0.757563813
699,0.396856559,0.67903229,0.79479438,0.684742696
749,0.390851124,0.727894461,0.779515568,0.74107886
799,0.287261923,0.531324162,0.781936515,0.761498454
849,0.272489681,0.646910552,0.787459255,0.776460267
899,0.457997207,0.745613762,0.779758754,0.764104881
949,0.501445338,0.791559398,0.78890358,0.768680237
999,0.333711834,0.769773936,0.797662504,0.793574266
1049,0.519327349,0.75355999,0.798161022,0.782192571
1099,0.6291568,0.742105137,0.794718469,0.803298265
1149,0.446955802,0.785439092,0.788550638,0.767762019
1199,0.667426293,0.773199957,0.78758605,0.796653909
1249,0.659880349,0.778775286,0.795970914,0.787819764
1299,0.716417902,0.757409881,0.784670605,0.78305915
1349,0.682447677,0.765653061,0.801134935,0.79718464
1399,0.705504102,0.800497737,0.801321057,0.773582472
1449,0.685067435,0.784253095,0.786540987,0.788370074
1499,0.718611294,0.796662091,0.788483989,0.775524595
1549,0.686493456,0.75630094,0.79222616,0.800136844
1599,0.727941807,0.772934001,0.793394269,0.772071464
1649,0.728996608,0.781686571,0.790151275,0.775248127
1699,0.778246714,0.781537601,0.786572221,0.782547643
1749,0.764114894,0.797071246,0.79462344,0.784498127
1799,0.755309477,0.786681546,0.787167529,0.781018337
1849,0.786395837,0.77507503,0.789569519,0.782305796
1899,0.776984809,0.776258324,0.794185655,0.78283318
1949,0.779151817,0.787158516,0.80621801,0.770624698
1999,0.773754884,0.809815266,0.798300943,0.761466803
2049,0.778489573,0.800207211,0.78822704,0.782595716
2099,0.766546554,0.784036588,0.788842517,0.762088541
2149,0.790027846,0.799788721,0.799137257,0.783426919
2199,0.786601028,0.791205769,0.797755096,0.793468113
2249,0.765928484,0.789576492,0.786367973,0.785204095
2299,0.735377671,0.763917509,0.793409636,0.781338942
2349,0.775859869,0.780732323,0.796405833,0.777422084
2399,0.803539271,0.767853161,0.784612125,0.780252493
2449,0.776318951,0.79347792,0.79142544,0.787707019
2499,0.782379887,0.769786512,0.777096675,0.784264209
2549,0.792265872,0.78300624,0.796829323,0.769717835
2599,0.79961111,0.791575612,0.793277628,0.78290411
2649,0.790872396,0.788921332,0.788055538,0.779336104
2699,0.78804682,0.792467236,0.78823433,0.778489355
2749,0.788657464,0.797080669,0.798168971,0.778095028
2799,0.776890969,0.795254127,0.801392225,0.78883318
2849,0.781262105,0.792448697,0.78649938,0.781666514
2899,0.794995765,0.777907914,0.789065619,0.779561852
2949,0.781915577,0.792482696,0.794677485,0.774836497
